WD23NM,PD_ID,PD_Name,Total,Contacts_2024,Canvassed_2024,Contacts_GE,Canvassed_GE,Lib Dem,Potential LD,Tory,Potential Tory,Labour,Potential Labour,Green,Potential Green,Others,Unknown,Supporters,Switch Europe,Switch,Squeeze,Stay at home,Switch+,Squeeze+,Stay at Home+,Unknown
Brize Norton and Shilton,FC,5 Briz FC (Asthal),212,9,7,7,7,9,1,1,2,0,0,1,1,0,197,9,29,2,3,1,153,0,14,1
Brize Norton and Shilton,FI,5 Briz FI (Brize Norton),"1,360",159,51,14,14,56,9,28,14,6,4,1,0,4,1238,56,66,13,14,25,1142,4,16,24
Brize Norton and Shilton,HP,5 Briz HP (Shilton),491,5,3,3,3,22,4,9,1,0,0,0,0,0,455,22,31,3,1,6,422,0,3,3
Brize Norton and Shilton,HY,5 Briz HY (Swinbrook),122,2,0,0,0,2,0,1,0,0,0,0,0,0,119,2,16,0,0,1,96,0,0,7
Ascott and Shipton,FB,6 A&S FB (Ascott),457,62,27,27,27,94,32,76,26,8,13,1,1,1,205,93,68,30,37,75,146,2,2,4
Ascott and Shipton,HD,6 A&S HD (Lyneham),132,0,0,0,0,18,4,11,1,2,0,0,0,0,96,18,15,2,5,10,75,0,5,2
Ascott and Shipton,HQ,6 A&S HQ (Shipton),"1,159",70,44,44,44,219,73,155,46,15,17,1,1,3,629,213,153,63,61,157,496,0,7,9
Alvescot and Filkins,FA,6 AlvF FA (Alvescot),386,6,5,4,4,7,0,4,0,0,1,9,0,0,365,7,63,0,9,2,288,0,10,7
Alvescot and Filkins,FJ,6 AlvF FJ (Broadwell),102,2,0,0,0,4,0,4,0,0,0,0,0,0,94,4,16,0,0,3,78,0,0,1
Alvescot and Filkins,GH,6 AlvF GH (Filkins),338,8,5,5,5,23,4,5,0,1,0,0,0,0,305,23,47,1,4,5,257,0,0,1
Alvescot and Filkins,GM,6 AlvF GM (Grafton&Rad),52,0,0,0,0,0,0,1,0,0,0,0,0,0,51,0,11,0,0,1,40,0,0,0
Alvescot and Filkins,GS,6 AlvF GS (Holwell),32,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,31,0,0,0
Alvescot and Filkins,GU,6 AlvF GU (Kelmscott),67,0,0,0,0,4,0,0,2,0,0,0,0,0,61,4,14,1,0,0,48,0,0,0
Alvescot and Filkins,GV,6 AlvF GV (Kencot),85,2,0,0,0,1,0,2,0,0,0,0,0,0,82,1,1,0,0,2,78,0,3,0
Alvescot and Filkins,GY,6 AlvF GY (Langford),275,6,4,4,4,11,0,0,1,0,0,0,0,1,262,11,14,2,0,1,246,0,0,1
Alvescot and Filkins,HB,6 AlvF HB (LitFaringdon),52,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,8,0,0,0,43,0,0,1
Alvescot and Filkins,JC,6 AlvF JC (Westwell),44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,4,0,0,0,40,0,0,0
Burford,FL,6 Bfd FL Burford,"1,253",274,163,112,111,140,82,98,42,8,8,1,2,4,868,140,134,82,42,98,709,19,18,11
Burford,GK,6 Bfd GK (Fulbrook),355,100,46,29,29,42,24,29,7,6,6,0,0,0,241,42,24,24,18,28,218,0,0,1
Burford,JA,6 Bfd JA (Taynton),82,17,8,2,2,13,6,3,2,0,0,0,0,0,58,13,3,8,0,3,51,0,2,2
Milton-under-Wychwood,FK,6 MiUW FK (Bruern),54,11,5,3,3,5,0,1,1,0,0,0,0,0,47,5,7,1,0,1,39,0,0,1
Milton-under-Wychwood,GG,6 MiUW GG (Fifield),155,100,34,0,0,14,3,16,7,0,0,0,0,1,114,14,9,7,1,18,106,0,0,0
Milton-under-Wychwood,GT,6 MiUW GT (Idbury),99,38,7,0,0,11,2,9,3,3,0,0,0,0,71,11,5,4,3,9,64,0,3,0
Milton-under-Wychwood,HE,6 MiUW HE (MiltonUWych),"1,472",1145,616,152,125,304,140,233,112,29,19,2,6,15,612,303,107,154,121,247,514,0,15,11
"Hailey, Minster Lovell and Leafield",FZ,7 HMLL FZ (Crawley),126,63,13,2,0,13,3,21,4,0,0,0,0,0,85,13,8,5,0,21,76,0,3,0
"Hailey, Minster Lovell and Leafield",GO,7 HMLL GO (Hailey),970,520,215,42,42,187,69,140,44,20,21,3,1,8,477,183,53,61,76,153,430,0,5,9
"Hailey, Minster Lovell and Leafield",GZ,7 HMLL GZ (Leafield),699,392,161,41,39,199,65,87,38,11,7,1,0,9,282,197,63,65,52,96,211,0,9,6
"Hailey, Minster Lovell and Leafield",HF,7 HMLL HF (Minster L),"1,327",933,364,42,22,219,94,234,95,13,15,0,1,15,641,216,91,134,50,252,571,3,9,1
"Hailey, Minster Lovell and Leafield",HJ,7 HMLL HJ (Ramsden),271,194,77,9,9,48,24,39,21,2,6,0,0,2,129,46,19,30,18,44,108,0,6,0
