Edu,Age,NS-SeC,Sex,Observation
Level_3,50_64,L12,Female,147313
Level_3,50_64,L12,Male,64875
Level_3,50_64,L13,Female,49786
Level_3,50_64,L13,Male,92442
Level_3,50_64,L14,Female,25385
Level_3,50_64,L14,Male,24121
Level_3,50_64,Students,Female,3830
Level_3,50_64,Students,Male,2144
Level_3,65+,L1_L3,Female,23406
Level_3,65+,L1_L3,Male,83748
Level_3,65+,L4_L6,Female,93590
Level_3,65+,L4_L6,Male,104363
Level_3,65+,L7,Female,95855
Level_3,65+,L7,Male,35997
Level_3,65+,L8_L9,Female,35248
Level_3,65+,L8_L9,Male,88470
Level_3,65+,L10_L11,Female,14643
Level_3,65+,L10_L11,Male,54085
Level_3,65+,L12,Female,56410
Level_3,65+,L12,Male,31703
Level_3,65+,L13,Female,18006
Level_3,65+,L13,Male,42983
Level_3,65+,L14,Female,25447
Level_3,65+,L14,Male,33193
Level_3,65+,Students,Female,466
Level_3,65+,Students,Male,375
Level_4,16_24,L1_L3,Female,57513
Level_4,16_24,L1_L3,Male,77440
Level_4,16_24,L4_L6,Female,143970
Level_4,16_24,L4_L6,Male,83365
Level_4,16_24,L7,Female,85047
Level_4,16_24,L7,Male,46985
Level_4,16_24,L8_L9,Female,11564
Level_4,16_24,L8_L9,Male,19930
Level_4,16_24,L10_L11,Female,10944
Level_4,16_24,L10_L11,Male,20791
Level_4,16_24,L12,Female,70189
Level_4,16_24,L12,Male,41118
Level_4,16_24,L13,Female,38705
Level_4,16_24,L13,Male,42919
Level_4,16_24,L14,Female,26289
Level_4,16_24,L14,Male,30405
Level_4,16_24,Students,Female,203966
Level_4,16_24,Students,Male,158622
Level_4,25_34,L1_L3,Female,453982
Level_4,25_34,L1_L3,Male,538460
Level_4,25_34,L4_L6,Female,797309
Level_4,25_34,L4_L6,Male,474863
Level_4,25_34,L7,Female,263818
Level_4,25_34,L7,Male,134609
Level_4,25_34,L8_L9,Female,79633
Level_4,25_34,L8_L9,Male,114201
Level_4,25_34,L10_L11,Female,43805
Level_4,25_34,L10_L11,Male,71044
